Index,Type,Falut,Action
1,진공 시스템(Load Lock/챔버),베이크 후 진공 도달 지연,"O‑ring 교체 및 그리스 재도포, 챔버 누설 시험(He leak) 수행"
2,진공 시스템(Load Lock/챔버),펌프다운 중 압력 진동,"배관 클램프 재조임, 스로틀 밸브 튜닝 및 펌프 성능 확인"
3,진공 시스템(Load Lock/챔버),배기 속도 저하,"드라이펌프 트랩 청소, 배기라인 파티클/오일 컨덴세이트 제거"
4,진공 시스템(Load Lock/챔버),게이지 값 불안정,진공 게이지 재교정 및 케이블/피드스루 접촉 확인
5,진공 시스템(Load Lock/챔버),크라이오펌프 재생 필요 경고,재생 사이클 수행 및 냉매 레벨/온도 센서 점검
6,RF/매칭 네트워크,플라스마 점화 실패,"RF 매칭 재튜닝, 안테나/케이블 단선 여부 확인"
7,RF/매칭 네트워크,리플렉트 전력 과다,"매칭 콘덴서 점검 및 접지 개선, 코일 산화물 제거"
8,RF/매칭 네트워크,RF 발생기 과열,"팬/필터 청소, 히트싱크 써멀패드 교체"
9,RF/매칭 네트워크,간헐적 아크 발생,"챔버 내부 파티클 청소, RF 파워 단계적 램프업"
10,RF/매칭 네트워크,주파수 드리프트,발생기 펌웨어 재설정 및 내부 기준 클럭 점검
11,MFC/가스 공급,유량 불일치 알람,"MFC 제로/스팬 재교정, 바이패스 라인으로 기능 점검"
12,MFC/가스 공급,슬로프 응답 지연,필터/고압레귤레이터 막힘 여부 확인 및 교체
13,MFC/가스 공급,가스 누설 의심,"누설 시험 실시, 피팅 재조립 및 토크 규격 적용"
14,MFC/가스 공급,독성가스 과압,"VMB/VMP 레귤레이터 설정 재점검, 릴리프 밸브 시험"
15,MFC/가스 공급,퍼지 실패,"N2 퍼지 시퀀스 재설정, 솔레노이드 밸브 작동 확인"
16,ESC/웨이퍼 척,척킹 불량,"ESC 전압/리프트핀 높이 조정, 표면 클리닝"
17,ESC/웨이퍼 척,오버슛 전류 알람,ESC 파워 서플라이 점검 및 케이블 절연 검사
18,ESC/웨이퍼 척,He 백사이드 누설,"씰링 링 교체, Backside He 라인 누설 시험"
19,ESC/웨이퍼 척,온도 비균일,"존별 히터 PID 재튜닝, 열전대 접촉 확인"
20,ESC/웨이퍼 척,디클램프 지연,"리프트핀 윤활/정렬, 디클램프 타이밍 조정"
21,스로틀 밸브/압력제어,챔버 압력 불안정,"PID 게인 조정, 벨로우즈 마모 점검"
22,스로틀 밸브/압력제어,밸브 스틱션,"축 윤활 및 씰 교체, 개구 영역 파티클 제거"
23,스로틀 밸브/압력제어,개도 위치 오류,엔코더/스텝모터 캘리브레이션
24,스로틀 밸브/압력제어,저압 한계 미달,"펌프 성능 및 누설 재점검, 바이패스 밸브 확인"
25,스로틀 밸브/압력제어,고압 유지 불가,가스 유량 부족/게이지 불량 확인 후 교체
26,터보/드라이 펌프,베어링 소음 증가,"베어링 교체 또는 오버홀, 진동 아이솔레이터 확인"
27,터보/드라이 펌프,오일 미스트 검출,"오일 세퍼레이터 교체, 배출 라인 누설 확인"
28,터보/드라이 펌프,온도 과상승,"냉각수/팬 점검, 흡입구 막힘 제거"
29,터보/드라이 펌프,속도 램프업 실패,"인버터/드라이브 보드 진단, 로터 밸런싱"
30,터보/드라이 펌프,정지 후 재기동 실패,배기 역류 방지 체크밸브 점검 및 교체
31,엔드포인트/센서,OES 신호 약화,"창(viewport) 세정/교체, 광섬유 정렬"
32,엔드포인트/센서,레이저 EP 드리프트,"기준 샘플로 재교정, 온도 안정화 대기"
33,엔드포인트/센서,압력 센서 옵셋,"제로점 재설정, 다이어프램 오염 제거"
34,엔드포인트/센서,가스 분석기 노이즈,"배경 스펙트럼 재측정, 접지 개선"
35,엔드포인트/센서,두께 모니터 불일치,"타겟/프로브 각도 재설정, 필름 표준편 교정"
36,웨트벤치/세정,케미컬 농도 편차,"자동 보충 로직 확인, 타이틀레이션 교정"
37,웨트벤치/세정,오버플로 배수 불량,드레인 막힘 제거 및 트랩 청소
38,웨트벤치/세정,스핀 린스 드라이 물자국,"스프레이 노즐 교체, N2 블로우 압력 조정"
